Post_id,User_id,Content,Created_at
POST0001,IN0152,Cycling through the countryside – nothing like fresh air and open roads.,2022:01:28 06:27
POST0002,IN0867,Finally completed a watercolor painting I’ve been working on for weeks.,2022:01:29 06:27
POST0003,IN0607,Any tips for learning web development? Diving into HTML and CSS today.,2022:01:30 06:27
POST0004,IN0774,Cooked up some delicious biryani today – the aroma is heavenly!,2022:01:31 06:27
POST0005,IN0717,Life is 10% what happens to us and 90% how we react to it.,2022:02:01 06:27
POST0006,IN1969,Just discovered a hidden gem café in Delhi – their coffee is out of this world.,2022:02:02 06:27
POST0007,IN1334,Cycling through the countryside – nothing like fresh air and open roads.,2022:02:03 06:27
POST0008,IN0813,Cooked up some delicious biryani today – the aroma is heavenly!,2022:02:04 06:27
POST0009,IN1407,Mango season is here – made fresh aamras at home!,2022:02:05 06:27
POST0010,IN1491,Meditation is my new go-to for staying calm and focused.,2022:02:06 06:27
POST0011,IN0778,Tried out a new pasta recipe. Cooking is my therapy.,2022:02:07 06:27
POST0012,IN0446,Success is the result of small efforts repeated daily.,2022:02:08 06:27
POST0013,IN0111,Blockchain technology is mind-blowing – exploring its use cases in healthcare.,2022:02:09 06:27
POST0014,IN0260,Finally automated my tasks with Python scripts. Feels like magic!,2022:02:10 06:27
POST0015,IN0445,Cooked up some delicious biryani today – the aroma is heavenly!,2022:02:11 06:27
POST0016,IN1187,Dancing to my favorite tunes always lifts my spirits.,2022:02:12 06:27
POST0017,IN0257,Just discovered a hidden gem café in Delhi – their coffee is out of this world.,2022:02:13 06:27
POST0018,IN0923,Finally achieved my fitness goal – lost 5kg in 3 months.,2022:02:14 06:27
POST0019,IN0598,Started exploring AI and machine learning – the future is here.,2022:02:15 06:27
POST0020,IN1479,Mango season is here – made fresh aamras at home!,2022:02:16 06:27
POST0021,IN1180,Just returned from a breathtaking trip to Goa. Highly recommend it!,2022:02:17 06:27
POST0022,IN0340,Just discovered a hidden gem café in Delhi – their coffee is out of this world.,2022:02:18 06:27
POST0023,IN1619,Wandering through the streets of Jaipur – the Pink City never fails to amaze.,2022:02:19 06:27
POST0024,IN0475,Believe in yourself and all that you are – the best is yet to come.,2022:02:20 06:27
